QTY,MAKE,PART NUMBER,PRODUCT NAME,DESCRIPTION,SERIAL,NOTE,SHELF,URL
1,CRESTRON,,TSW-1050-TTKW-S,"Tabletop Kit for TSW-1050 & TSW-1052, White Smooth Discontinued",,,B7,avidexloanerlistfremont.pythonanywhere.com/120/
1,CRESTRON,,TSW-1052-B-S,"10.1” Touch Screen, Black Smooth Discontinued",,,B7,avidexloanerlistfremont.pythonanywhere.com/121/
1,CRESTRON,,TSW-1052-W-S,"10.1” Touch Screen, White Smooth Discontinued",,,B7,avidexloanerlistfremont.pythonanywhere.com/122/
9,CRESTRON,,TSW-550 BRACKETS,Touch Screen brackets,,ALSO 2X METAL PLATES ,B7,avidexloanerlistfremont.pythonanywhere.com/123/
1,CRESTRON,,TSW-730-B-S,"7” Room Scheduling Touch Screen, Black Smooth Discontinued",,,B7,avidexloanerlistfremont.pythonanywhere.com/124/
1,CRESTRON,,USB-EXT,USB over Twisted Pair Extender Discontinued,,CRESTRON MISC BOX,B6,avidexloanerlistfremont.pythonanywhere.com/125/
1,CRESTRON,,USB-EXT-2-LOCAL,"USB over Category Cable Extender, Local",,CRESTRON MISC BOX,B6,avidexloanerlistfremont.pythonanywhere.com/126/
1,CROWN,CDI4000,,"Two-channel, 1200W @ 4Ω, 70V/140V Power Amplifier",,,16,avidexloanerlistfremont.pythonanywhere.com/127/
1,CROWN,CT8200,,"(discontinued) Eight-channel, 200W Power Amplifier",,,15,avidexloanerlistfremont.pythonanywhere.com/128/
1,CROWN,CTS4200,,"(discontinued) Four-channel, 260W Power Amplifier",,,16,avidexloanerlistfremont.pythonanywhere.com/129/
1,CROWN,MB2,,"Table Top Boundary Microphone with 1/4"" Phone Connection (Black)",,,15,avidexloanerlistfremont.pythonanywhere.com/130/
1,DALITE,LVC-4,,Da-Lite Single Motor Low Voltage Control System Projector Up/Down wall plate,,,Z6,avidexloanerlistfremont.pythonanywhere.com/131/
1,DIGITALINX,DL-USB2-WP-H,,USB 2.0 Hi-Speed Twisted Pair Extender WP Host,1409CP1403,,Z1,avidexloanerlistfremont.pythonanywhere.com/132/
1,EXTRON,26-566-02,,Male to Male 15-pin HD Micro HR with Audio Cables,,,Z4,avidexloanerlistfremont.pythonanywhere.com/133/
1,EXTRON,28-327-57LF,,Power Supply,,CRESTRON MISC BOX,B6,avidexloanerlistfremont.pythonanywhere.com/134/
1,EXTRON,60-10-43-12,,"Cable Retraction System with Speed Control for AVEdge, Cable Cubby, and Select TouchLink Enclosures",,,Z4,avidexloanerlistfremont.pythonanywhere.com/135/
1,EXTRON,60-1022-01,PS124,"Multiple Output 12 VDC, 48 W Power Supply",,,Z5,avidexloanerlistfremont.pythonanywhere.com/136/
1,EXTRON,60-12-71-13,DTP HDMI 4K 230 Rx,DTP Receiver for HDMI,,,Z4,avidexloanerlistfremont.pythonanywhere.com/137/
1,EXTRON,60-1221-01,DP DA2,Two Output DisplayPort Distribution Amplifier,,,Z5,avidexloanerlistfremont.pythonanywhere.com/138/
1,EXTRON,60-1271-12,DTP HDMI 4K 230 Tx,DTP Transmitter for HDMI,,,Z5,avidexloanerlistfremont.pythonanywhere.com/139/
1,EXTRON,60-1471-12,USB Extender Plus Series,Twisted Pair Extender for USB Peripherals,,,Z4,avidexloanerlistfremont.pythonanywhere.com/140/
1,EXTRON,60-497-01,MLS 100 A,Four Input Stereo Audio Switcher,,,Z5,avidexloanerlistfremont.pythonanywhere.com/141/
1,EXTRON,60-818-03,MLC 104 IP Plus,MediaLink Controller with Ethernet Control,,,Z5,avidexloanerlistfremont.pythonanywhere.com/142/
1,EXTRON,60-871-12,USB Extender Series,Twisted Pair Extender for USB Peripherals,,,Z4,avidexloanerlistfremont.pythonanywhere.com/143/
1,EXTRON,60-871-22,,"RETIRED
USB Extender Series
Twisted Pair Extender for USB Peripherals",,,Z3,avidexloanerlistfremont.pythonanywhere.com/144/
1,EXTRON,60-957-13,,"RETIRED
DVI DL 201
Dual Link DVI Twisted Pair Extender with EDID Minder®",,,Z4,avidexloanerlistfremont.pythonanywhere.com/145/
1,EXTRON,60-977-01,DVI 104 TX/RX,DVI Fiber Optic Extender,,,Z5,avidexloanerlistfremont.pythonanywhere.com/146/
1,EXTRON,60-991-01,,DVI Fiber Optic Extender,,,Z4,avidexloanerlistfremont.pythonanywhere.com/147/
3,EXTRON,70-1066-04,,"Extended Length Cable Retraction System with Speed Control for AVEdge, Cable Cubby, and Select TouchLink Enclosures",,,Z6,avidexloanerlistfremont.pythonanywhere.com/148/
1,EXTRON,70-775-01,,12 V & 15 V Replacement Power Supplies Featuring ZipClip®,,,Z4,avidexloanerlistfremont.pythonanywhere.com/149/
1,EXTRON,70-775-01,,12 V & 15 V Replacement Power Supplies Featuring ZipClip®,,,Z5,avidexloanerlistfremont.pythonanywhere.com/150/
1,EXTRON,70-778-01,,12 V & 15 V Replacement Power Supplies Featuring ZipClip®,,,Z4,avidexloanerlistfremont.pythonanywhere.com/151/
1,EXTRON,,CROSSPOINT SWITCHER,Matrix Switchers,,,Z7,avidexloanerlistfremont.pythonanywhere.com/152/
1,EXTRON,,DMP64,6x4 ProDSP™ Digital Matrix Processor,,,Z3,avidexloanerlistfremont.pythonanywhere.com/153/
1,EXTRON,,DTP HDMI 330 RX,Long Distance DTP Receiver for HDMI,,,Z3,avidexloanerlistfremont.pythonanywhere.com/154/
1,EXTRON,,DTP-HDMI-230-TX,DTP Transmitter for HDMI,,CRESTRON MISC BOX,B6,avidexloanerlistfremont.pythonanywhere.com/155/
1,EXTRON,,DTP-R-DP-330,Long Distance DTP Receiver for DisplayPort,,,Z2,avidexloanerlistfremont.pythonanywhere.com/156/
1,EXTRON,,DTP-T-DP-330,Long Distance DTP Transmitter for DisplayPort,,,Z2,avidexloanerlistfremont.pythonanywhere.com/157/
1,EXTRON,,DTP-T-HWP-4K-231-D ,DTP Transmitter for HDMI - Decorator-Style Wallplate,,POWER SUPPLY INCLUDED,Z5,avidexloanerlistfremont.pythonanywhere.com/158/
1,EXTRON,,DVI 201 RX,"RETIRED
DVI 201
DVI Twisted Pair Extender",,,Z4,avidexloanerlistfremont.pythonanywhere.com/159/
1,EXTRON,,DVI 201 TX,"RETIRED
DVI 201
DVI Twisted Pair Extender",,,Z4,avidexloanerlistfremont.pythonanywhere.com/160/
1,EXTRON,,HDMI 101 AND EQUALIZER ,"RETIRED
HDMI 101 Plus
HDMI Cable Equalizer",,,Z3,avidexloanerlistfremont.pythonanywhere.com/161/
1,EXTRON,,HDMI 201 TX/RX SET,"RETIRED
HDMI 201
HDMI Twisted Pair Extender
",,,Z5,avidexloanerlistfremont.pythonanywhere.com/162/
1,EXTRON,,HDMI DA4,"RETIRED
HDMI DA Series
HDMI Distribution Amplifiers",,,Z3,avidexloanerlistfremont.pythonanywhere.com/163/
